,M1,M2,M3,M4
1977-Q3,19.38872708,19.38872708,19.38872708,19.38872708
1977-Q4,19.41929073,19.41929073,19.41929073,19.41929073
1978-Q1,19.44832619,19.44832619,19.44832619,19.44832619
1978-Q2,19.47590988,19.47590988,19.47590988,19.47590988
1978-Q3,19.50211439,19.50211439,19.50211439,19.50211439
1978-Q4,19.52700867,19.52700867,19.52700867,19.52700867
1979-Q1,19.55065823,19.55065823,19.55065823,19.55065823
1979-Q2,19.57312532,19.57312532,19.57312532,19.57312532
1979-Q3,19.59446906,19.59446906,19.59446906,19.59446906
1979-Q4,19.6147456,19.6147456,19.6147456,19.6147456
1980-Q1,19.63400832,19.63400832,19.63400832,19.63400832
1980-Q2,19.65230791,19.65230791,19.65230791,19.65230791
1980-Q3,19.66969251,19.66969251,19.66969251,19.66969251
1980-Q4,19.68620789,19.68620789,19.68620789,19.68620789
1981-Q1,19.70189749,19.70189749,19.70189749,19.70189749
1981-Q2,19.71680262,19.71680262,19.71680262,19.71680262
1981-Q3,19.73096249,19.73096249,19.73096249,19.73096249
1981-Q4,19.74441436,19.74441436,19.74441436,19.74441436
1982-Q1,19.75719364,19.75719364,19.75719364,19.75719364
1982-Q2,19.76933396,19.76933396,19.76933396,19.76933396
1982-Q3,19.78086726,19.78086726,19.78086726,19.78086726
1982-Q4,19.7918239,19.7918239,19.7918239,19.7918239
1983-Q1,19.80223271,19.80223271,19.80223271,19.80223271
1983-Q2,19.81212107,19.81212107,19.81212107,19.81212107
1983-Q3,19.82151502,19.82151502,19.82151502,19.82151502
1983-Q4,19.83043927,19.83043927,19.83043927,19.83043927
1984-Q1,19.8389173,19.8389173,19.8389173,19.8389173
1984-Q2,19.84697144,19.84697144,19.84697144,19.84697144
1984-Q3,19.85462287,19.85462287,19.85462287,19.85462287
1984-Q4,19.86189172,19.86189172,19.86189172,19.86189172
1985-Q1,19.86879714,19.86879714,19.86879714,19.86879714
1985-Q2,19.87535728,19.87535728,19.87535728,19.87535728
1985-Q3,19.88158942,19.88158942,19.88158942,19.88158942
1985-Q4,19.88750994,19.88750994,19.88750994,19.88750994
1986-Q1,19.89313445,19.89313445,19.89313445,19.89313445
1986-Q2,19.89847773,19.89847773,19.89847773,19.89847773
1986-Q3,19.90355384,19.90355384,19.90355384,19.90355384
1986-Q4,19.90837615,19.90837615,19.90837615,19.90837615
1987-Q1,19.91295734,19.91295734,19.91295734,19.91295734
1987-Q2,19.91730947,19.91730947,19.91730947,19.91730947
1987-Q3,19.921444,19.921444,19.921444,19.921444
1987-Q4,19.9253718,19.9253718,19.9253718,19.9253718
1988-Q1,19.92910321,19.92910321,19.92910321,19.92910321
1988-Q2,19.93264805,19.93264805,19.93264805,19.93264805
1988-Q3,19.93601565,19.93601565,19.93601565,19.93601565
1988-Q4,19.93921486,19.93921486,19.93921486,19.93921486
1989-Q1,19.94225412,19.94225412,19.94225412,19.94225412
1989-Q2,19.94514141,19.94514141,19.94514141,19.94514141
1989-Q3,19.94788434,19.94788434,19.94788434,19.94788434
1989-Q4,19.95049013,19.95049013,19.95049013,19.95049013
1990-Q1,19.95296562,19.95296562,19.95296562,19.95296562
1990-Q2,19.95531734,19.95531734,19.95531734,19.95531734
1990-Q3,19.95755147,19.95755147,19.95755147,19.95755147
1990-Q4,19.9596739,19.9596739,19.9596739,19.9596739
1991-Q1,19.9616902,19.9616902,19.9616902,19.9616902
1991-Q2,19.96360569,19.96360569,19.96360569,19.96360569
1991-Q3,19.96542541,19.96542541,19.96542541,19.96542541
1991-Q4,19.96715414,19.96715414,19.96715414,19.96715414
1992-Q1,19.96879643,19.96879643,19.96879643,19.96879643
1992-Q2,19.97035661,19.97035661,19.97035661,19.97035661
1992-Q3,19.97183878,19.97183878,19.97183878,19.97183878
1992-Q4,19.97324684,19.97324684,19.97324684,19.97324684
1993-Q1,19.9745845,19.9745845,19.9745845,19.9745845
1993-Q2,19.97585527,19.97585527,19.97585527,19.97585527
1993-Q3,19.97706251,19.97706251,19.97706251,19.97706251
1993-Q4,19.97820938,19.97820938,19.97820938,19.97820938
1994-Q1,19.97929892,19.97929892,19.97929892,19.97929892
1994-Q2,19.98033397,19.98033397,19.98033397,19.98033397
1994-Q3,19.98131727,19.98131727,19.98131727,19.98131727
1994-Q4,19.98225141,19.98225141,19.98225141,19.98225141
1995-Q1,19.98313884,19.98313884,19.98313884,19.98313884
1995-Q2,19.9839819,19.9839819,19.9839819,19.9839819
1995-Q3,19.9847828,19.9847828,19.9847828,19.9847828
1995-Q4,19.98554366,19.98554366,19.98554366,19.98554366
1996-Q1,19.98626648,19.98626648,19.98626648,19.98626648
1996-Q2,19.98695315,19.98695315,19.98695315,19.98695315
1996-Q3,19.9876055,19.9876055,19.9876055,19.9876055
1996-Q4,19.98822522,19.98822522,19.98822522,19.98822522
1997-Q1,19.98881396,19.98881396,19.98881396,19.98881396
1997-Q2,19.98937326,19.98937326,19.98937326,19.98937326
1997-Q3,19.9899046,19.9899046,19.9899046,19.9899046
1997-Q4,19.99040937,19.99040937,19.99040937,19.99040937
1998-Q1,19.9908889,19.9908889,19.9908889,19.9908889
1998-Q2,19.99134446,19.99134446,19.99134446,19.99134446
1998-Q3,19.99177723,19.99177723,19.99177723,19.99177723
1998-Q4,19.99218837,19.99218837,19.99218837,19.99218837
1999-Q1,19.99257895,19.99257895,19.99257895,19.99257895
1999-Q2,19.99295,19.99295,19.99295,19.99295
1999-Q3,19.9933025,19.9933025,19.9933025,19.9933025
1999-Q4,19.99363738,19.99363738,19.99363738,19.99363738
2000-Q1,19.99395551,19.99395551,19.99395551,19.99395551
2000-Q2,19.99425773,19.99425773,19.99425773,19.99425773
2000-Q3,19.99454485,19.99454485,19.99454485,19.99454485
2000-Q4,19.99481761,19.99481761,19.99481761,19.99481761
2001-Q1,19.99507673,19.99507673,19.99507673,19.99507673
2001-Q2,19.99532289,19.99532289,19.99532289,19.99532289
2001-Q3,19.99555674,19.99555674,19.99555674,19.99555674
2001-Q4,19.99577891,19.99577891,19.99577891,19.99577891
2002-Q1,19.99598996,19.99598996,19.99598996,19.99598996
2002-Q2,19.99619046,19.99619046,19.99619046,19.99619046
2002-Q3,19.99638094,19.99638094,19.99638094,19.99638094
2002-Q4,19.99656189,19.99656189,19.99656189,19.99656189
2003-Q1,19.9967338,19.9967338,19.9967338,19.9967338
2003-Q2,19.99689711,19.99689711,19.99689711,19.99689711
2003-Q3,19.99705225,19.99705225,19.99705225,19.99705225
2003-Q4,19.99719964,19.99719964,19.99719964,19.99719964
2004-Q1,19.99733966,19.99733966,19.99733966,19.99733966
2004-Q2,19.99747268,19.99747268,19.99747268,19.99747268
2004-Q3,19.99759904,19.99759904,19.99759904,19.99759904
2004-Q4,19.99771909,19.99771909,19.99771909,19.99771909
2005-Q1,19.99783314,19.99783314,19.99783314,19.99783314
2005-Q2,19.99794148,19.99794148,19.99794148,19.99794148
2005-Q3,19.9980444,19.9980444,19.9980444,19.9980444
2005-Q4,19.99814218,19.99814218,19.99814218,19.99814218
2006-Q1,19.99823508,19.99823508,19.99823508,19.99823508
2006-Q2,19.99832332,19.99832332,19.99832332,19.99832332
2006-Q3,19.99840716,19.99840716,19.99840716,19.99840716
2006-Q4,19.9984868,19.9984868,19.9984868,19.9984868
2007-Q1,19.99856246,19.99856246,19.99856246,19.99856246
2007-Q2,19.99863433,19.99863433,19.99863433,19.99863433
2007-Q3,19.99870262,19.99870262,19.99870262,19.99870262
2007-Q4,19.99876749,19.99876749,19.99876749,19.99876749
2008-Q1,19.99882911,19.99882911,19.99882911,19.99882911
2008-Q2,19.99888766,19.99888766,19.99888766,19.99888766
2008-Q3,19.99894327,19.99894327,19.99894327,19.99894327
2008-Q4,19.99899611,19.99899611,19.99899611,19.99899611
2009-Q1,19.99904631,19.99904631,19.99904631,19.99904631
2009-Q2,19.99909399,19.99909399,19.99909399,19.99909399
2009-Q3,19.99913929,19.99913929,19.99913929,19.99913929
2009-Q4,19.99918233,19.99918233,19.99918233,19.99918233
2010-Q1,19.99922321,19.99922321,19.99922321,19.99922321
2010-Q2,19.99926205,19.99926205,19.99926205,19.99926205
2010-Q3,19.99929895,19.99929895,19.99929895,19.99929895
2010-Q4,19.999334,19.999334,19.999334,19.999334
2011-Q1,19.9993673,19.9993673,19.9993673,19.9993673
2011-Q2,19.99939893,19.99939893,19.99939893,19.99939893
2011-Q3,19.99942899,19.99942899,19.99942899,19.99942899
2011-Q4,19.99945754,19.99945754,19.99945754,19.99945754
2012-Q1,19.99948466,19.99948466,19.99948466,19.99948466
2012-Q2,19.99951043,19.99951043,19.99951043,19.99951043
2012-Q3,19.99953491,19.99953491,19.99953491,19.99953491
2012-Q4,19.99955816,19.99955816,19.99955816,19.99955816
2013-Q1,19.99958025,19.99958025,19.99958025,19.99958025
2013-Q2,19.99960124,19.99960124,19.99960124,19.99960124
2013-Q3,19.99962118,19.99962118,19.99962118,19.99962118
2013-Q4,19.99964012,19.99964012,19.99964012,19.99964012
2014-Q1,19.99965811,19.99965811,19.99965811,19.99965811
2014-Q2,19.99967521,19.99967521,19.99967521,19.99967521
2014-Q3,19.99969145,19.99969145,19.99969145,19.99969145
2014-Q4,19.99970688,19.99970688,19.99970688,19.99970688
