,M1,M2,M3,M4
1977-Q3,0.495530486,0.237724178,0.245545341,0.32800345
1977-Q4,0.469728606,0.218495141,0.238509579,0.311857482
1978-Q1,0.455856265,0.200521174,0.241324427,0.310824288
1978-Q2,0.432437852,0.200171301,0.232021788,0.297138577
1978-Q3,0.421936898,0.189604773,0.238999154,0.282966801
1978-Q4,0.4135377,0.187704697,0.226815478,0.283823525
1979-Q1,0.391827522,0.215532979,0.222286459,0.315079236
1979-Q2,0.37790298,0.210481949,0.219130614,0.321536202
1979-Q3,0.380605762,0.202958355,0.224580508,0.278254036
1979-Q4,0.374947381,0.205476761,0.214893759,0.263219346
1980-Q1,0.355342574,0.304507227,0.212888361,0.354609887
1980-Q2,0.342269558,0.290810034,0.21263975,0.382190426
1980-Q3,0.326658311,0.507793777,0.204129806,0.30320489
1980-Q4,0.311393967,0.524345775,0.201979371,0.283714458
1981-Q1,0.331012118,0.336657771,0.236111814,0.384872473
1981-Q2,0.323324971,0.31091321,0.219487345,0.350032275
1981-Q3,0.313167034,0.298409524,0.229247139,0.365286199
1981-Q4,0.312330634,0.308956752,0.218909177,0.379532436
1982-Q1,0.340727745,0.383924962,0.226972067,0.377514433
1982-Q2,0.389194381,0.41014285,0.231856257,0.446103708
1982-Q3,0.393982809,0.321218806,0.217928532,0.429239709
1982-Q4,0.381405584,0.320732617,0.195147359,0.381704687
1983-Q1,0.395897889,0.322732727,0.199645805,0.374769544
1983-Q2,0.398174328,0.271094825,0.190209058,0.348962191
1983-Q3,0.397054883,0.238758763,0.179367726,0.329926648
1983-Q4,0.388463545,0.225927139,0.169710908,0.312052611
1984-Q1,0.379957953,0.220983456,0.162085741,0.288866561
1984-Q2,0.361952134,0.217167815,0.167620904,0.291171738
1984-Q3,0.343771966,0.193013228,0.15544999,0.284477769
1984-Q4,0.331441981,0.193989007,0.159655956,0.274976908
1985-Q1,0.315499258,0.182789485,0.149263254,0.251266069
1985-Q2,0.299340528,0.170998064,0.141692045,0.237291532
1985-Q3,0.288596393,0.159766144,0.142366788,0.225134545
1985-Q4,0.278703542,0.148810615,0.135900493,0.214243431
1986-Q1,0.265844034,0.139976521,0.129016498,0.203450901
1986-Q2,0.280659198,0.162941252,0.152722172,0.212418647
1986-Q3,0.270585468,0.154314528,0.143204685,0.201991524
1986-Q4,0.259717717,0.145450983,0.133882775,0.191379177
1987-Q1,0.246584425,0.135310152,0.127080241,0.181842212
1987-Q2,0.235476917,0.131141355,0.122327031,0.177548486
1987-Q3,0.22569826,0.12507897,0.11612949,0.172992106
1987-Q4,0.217858336,0.118151756,0.110108811,0.168779902
1988-Q1,0.209237381,0.111537245,0.104333525,0.16189617
1988-Q2,0.198608907,0.107171017,0.101035729,0.15376832
1988-Q3,0.191738737,0.102711692,0.09704218,0.147923887
1988-Q4,0.190936865,0.100521028,0.095032388,0.145291556
1989-Q1,0.181534836,0.104146362,0.098983878,0.14145007
1989-Q2,0.176535337,0.099793817,0.095664861,0.136540888
1989-Q3,0.167726468,0.09619631,0.091817264,0.130352938
1989-Q4,0.171626322,0.112547288,0.105427241,0.146522543
1990-Q1,0.164062927,0.105820693,0.099542474,0.143039798
1990-Q2,0.15584918,0.09792467,0.093434008,0.137263489
1990-Q3,0.148058147,0.091731705,0.08874674,0.131502132
1990-Q4,0.14151376,0.089544179,0.08527084,0.123754253
1991-Q1,0.134440401,0.085285448,0.08125864,0.116891427
1991-Q2,0.128641798,0.081545942,0.079116263,0.112157819
1991-Q3,0.129876546,0.079420606,0.081516562,0.112204642
1991-Q4,0.125319868,0.07432897,0.077247874,0.107101484
1992-Q1,0.122304134,0.072355981,0.074171565,0.103715774
1992-Q2,0.135535231,0.077224408,0.084694637,0.11021219
1992-Q3,0.129038386,0.082602384,0.084055194,0.106448478
1992-Q4,0.127183572,0.07759089,0.081655248,0.102044665
1993-Q1,0.121202715,0.078927455,0.080250531,0.102840363
1993-Q2,0.115571594,0.075181125,0.075577629,0.101960318
1993-Q3,0.109945104,0.072436257,0.073795982,0.096924218
1993-Q4,0.104824031,0.068133031,0.06997943,0.094273131
1994-Q1,0.101435543,0.069568177,0.071459633,0.089780688
1994-Q2,0.096981492,0.065086086,0.06743103,0.085090518
1994-Q3,0.093129879,0.062163102,0.064733595,0.0805664
1994-Q4,0.08884081,0.059770385,0.06160591,0.076770753
1995-Q1,0.084338372,0.05615699,0.058522218,0.073129122
1995-Q2,0.080247377,0.053497488,0.055595151,0.069653818
1995-Q3,0.07657181,0.052931721,0.05445344,0.067614877
1995-Q4,0.073147471,0.049727594,0.05204091,0.065366058
1996-Q1,0.069799806,0.046835993,0.049689199,0.063122541
1996-Q2,0.06644298,0.044780725,0.047332267,0.060718362
1996-Q3,0.063433079,0.043134551,0.04540872,0.058935052
1996-Q4,0.062639545,0.044556601,0.045663517,0.060538154
1997-Q1,0.059470705,0.042498063,0.043611113,0.05793257
1997-Q2,0.056653507,0.040151215,0.041388553,0.055054864
1997-Q3,0.054676099,0.041557231,0.041888964,0.055217113
1997-Q4,0.052086241,0.039245621,0.039917785,0.052693288
1998-Q1,0.051403885,0.042721055,0.041749186,0.056096547
1998-Q2,0.060399016,0.055275751,0.049215205,0.074013619
1998-Q3,0.05760457,0.053962779,0.048175068,0.072711428
1998-Q4,0.054684306,0.050023035,0.045067046,0.069844555
1999-Q1,0.051957924,0.048013133,0.043163379,0.067592506
1999-Q2,0.054753608,0.047962539,0.04577457,0.065789041
1999-Q3,0.052641992,0.046341805,0.044110089,0.062573911
1999-Q4,0.050024891,0.045615914,0.042784002,0.061477104
2000-Q1,0.048387775,0.043815995,0.040971446,0.058636231
2000-Q2,0.049154986,0.04169802,0.040028361,0.055951431
2000-Q3,0.049061227,0.039788527,0.038064485,0.053234577
2000-Q4,0.050418268,0.037759549,0.036586079,0.050686411
2001-Q1,0.048116889,0.037567022,0.035688743,0.049161976
2001-Q2,0.046873997,0.041889259,0.036588588,0.052884663
2001-Q3,0.045349453,0.043735109,0.036555942,0.050600012
2001-Q4,0.048871624,0.052700525,0.044392065,0.060834955
2002-Q1,0.049678741,0.051618138,0.041933547,0.065251407
2002-Q2,0.052545888,0.048136891,0.041518358,0.067833688
2002-Q3,0.056095481,0.045370991,0.041159042,0.069424935
2002-Q4,0.053835746,0.04892703,0.044050914,0.067360443
2003-Q1,0.053714499,0.047868124,0.042534599,0.068146783
2003-Q2,0.055091518,0.046966838,0.041145723,0.070408841
2003-Q3,0.05255265,0.049704499,0.043290975,0.067109333
2003-Q4,0.050358072,0.046775277,0.040713767,0.064837531
2004-Q1,0.048157282,0.04531476,0.039932314,0.061332426
2004-Q2,0.048772527,0.045298004,0.041500687,0.061520588
